"Provider ID","Hospital name","Address","City","State","ZIP Code","County name","Phone number","Payment measure name","Payment measure ID","Payment category","Denominator","Payment","Lower estimate","Higher estimate","Payment footnote","Value of care display name","Value of care display ID","Value of care category","Value of care footnote","Measure start date","Measure end date"
"340037","CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN","706 W KING ST","KINGS MOUNTAIN","NC","28086","CLEVELAND","7047393601","Payment for heart attack patients","PAYM_30_AMI","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","1 - The number of cases/patients is too few to report.","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340037","CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN","706 W KING ST","KINGS MOUNTAIN","NC","28086","CLEVELAND","7047393601","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","73","$16,977","$14,978","$19,155","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340037","CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN","706 W KING ST","KINGS MOUNTAIN","NC","28086","CLEVELAND","7047393601","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2013","03/31/2016"
"340037","CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN","706 W KING ST","KINGS MOUNTAIN","NC","28086","CLEVELAND","7047393601","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","166","$16,863","$15,363","$18,354","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340039","IREDELL MEMORIAL HOSPITAL INC","557 BROOKDALE DR  P O BOX 1828","STATESVILLE","NC","28677","IREDELL","7048735661","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","115","$22,194","$20,039","$24,597","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340039","IREDELL MEMORIAL HOSPITAL INC","557 BROOKDALE DR  P O BOX 1828","STATESVILLE","NC","28677","IREDELL","7048735661","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","330","$15,036","$14,042","$16,207","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340039","IREDELL MEMORIAL HOSPITAL INC","557 BROOKDALE DR  P O BOX 1828","STATESVILLE","NC","28677","IREDELL","7048735661","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","326","$22,252","$21,451","$23,150","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340039","IREDELL MEMORIAL HOSPITAL INC","557 BROOKDALE DR  P O BOX 1828","STATESVILLE","NC","28677","IREDELL","7048735661","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","699","$17,214","$16,465","$18,039","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340040","VIDANT MEDICAL CENTER","2100 STANTONSBURG RD","GREENVILLE","NC","27834","PITT","2528474100","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","1,199","$22,163","$21,305","$23,053","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340040","VIDANT MEDICAL CENTER","2100 STANTONSBURG RD","GREENVILLE","NC","27834","PITT","2528474100","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","1,344","$15,964","$15,368","$16,568","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340040","VIDANT MEDICAL CENTER","2100 STANTONSBURG RD","GREENVILLE","NC","27834","PITT","2528474100","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","992","$23,378","$22,831","$23,935","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340040","VIDANT MEDICAL CENTER","2100 STANTONSBURG RD","GREENVILLE","NC","27834","PITT","2528474100","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","1,092","$17,032","$16,410","$17,610","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340041","CALDWELL MEMORIAL HOSPITAL","321 MULBERRY ST SW","LENOIR","NC","28645","CALDWELL","8287575100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","49","$21,664","$19,110","$24,464","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340041","CALDWELL MEMORIAL HOSPITAL","321 MULBERRY ST SW","LENOIR","NC","28645","CALDWELL","8287575100","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","103","$16,339","$14,615","$18,334","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340041","CALDWELL MEMORIAL HOSPITAL","321 MULBERRY ST SW","LENOIR","NC","28645","CALDWELL","8287575100","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","145","$27,009","$25,370","$28,748","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340041","CALDWELL MEMORIAL HOSPITAL","321 MULBERRY ST SW","LENOIR","NC","28645","CALDWELL","8287575100","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","337","$17,479","$16,317","$18,588","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340042","ONSLOW MEMORIAL HOSPITAL","317 WESTERN BOULEVARD","JACKSONVILLE","NC","28540","ONSLOW","9105772345","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","70","$22,533","$19,918","$25,058","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340042","ONSLOW MEMORIAL HOSPITAL","317 WESTERN BOULEVARD","JACKSONVILLE","NC","28540","ONSLOW","9105772345","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","302","$15,139","$14,038","$16,254","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340042","ONSLOW MEMORIAL HOSPITAL","317 WESTERN BOULEVARD","JACKSONVILLE","NC","28540","ONSLOW","9105772345","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","116","$22,143","$20,791","$23,617","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340042","ONSLOW MEMORIAL HOSPITAL","317 WESTERN BOULEVARD","JACKSONVILLE","NC","28540","ONSLOW","9105772345","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","553","$16,989","$16,083","$17,821","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","452","$21,366","$20,111","$22,653","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","571","$16,351","$15,483","$17,260","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","362","$20,887","$20,175","$21,645","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340047","NORTH CAROLINA BAPTIST HOSPITAL","MEDICAL CENTER BOULEVARD","WINSTON-SALEM","NC","27157","FORSYTH","3367162011","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","749","$16,747","$16,031","$17,456","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Better mortality and average payment","","07/01/2013","06/30/2016"
"340049","NORTH CAROLINA SPECIALTY HOSPITAL","3916 BEN FRANKLIN BOULEVARD","DURHAM","NC","27704","DURHAM","9199569300","Payment for heart attack patients","PAYM_30_AMI","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340049","NORTH CAROLINA SPECIALTY HOSPITAL","3916 BEN FRANKLIN BOULEVARD","DURHAM","NC","27704","DURHAM","9199569300","Payment for heart failure patients","PAYM_30_HF","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340049","NORTH CAROLINA SPECIALTY HOSPITAL","3916 BEN FRANKLIN BOULEVARD","DURHAM","NC","27704","DURHAM","9199569300","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","777","$19,863","$19,390","$20,367","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340049","NORTH CAROLINA SPECIALTY HOSPITAL","3916 BEN FRANKLIN BOULEVARD","DURHAM","NC","27704","DURHAM","9199569300","Payment for pneumonia patients","PAYM_30_PN","Not Available","Not Available","Not Available","Not Available","Not Available","5 - Results are not available for this reporting period.","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Not Available","13 - Results cannot be calculated for this reporting period.","07/01/2013","06/30/2016"
"340050","SOUTHEASTERN REGIONAL MEDICAL CENTER","300 W 27 ST  PO BOX 1408","LUMBERTON","NC","28359","ROBESON","9106715000","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","276","$21,328","$19,812","$22,933","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340050","SOUTHEASTERN REGIONAL MEDICAL CENTER","300 W 27 ST  PO BOX 1408","LUMBERTON","NC","28359","ROBESON","9106715000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","569","$13,936","$13,172","$14,718","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340050","SOUTHEASTERN REGIONAL MEDICAL CENTER","300 W 27 ST  PO BOX 1408","LUMBERTON","NC","28359","ROBESON","9106715000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","132","$23,395","$21,959","$24,907","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340050","SOUTHEASTERN REGIONAL MEDICAL CENTER","300 W 27 ST  PO BOX 1408","LUMBERTON","NC","28359","ROBESON","9106715000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","584","$15,457","$14,703","$16,181","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340051","WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD","BOONE","NC","28607","WATAUGA","8282624100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","138","$21,337","$19,445","$23,486","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340051","WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD","BOONE","NC","28607","WATAUGA","8282624100","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","179","$16,173","$14,763","$17,707","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340051","WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD","BOONE","NC","28607","WATAUGA","8282624100","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","252","$21,370","$20,473","$22,329","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340051","WATAUGA MEDICAL CENTER","336 DEERFIELD ROAD","BOONE","NC","28607","WATAUGA","8282624100","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","350","$16,245","$15,263","$17,252","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340053","NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER","200 HAWTHORNE LANE BOX 33549","CHARLOTTE","NC","28233","MECKLENBURG","7043844000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","242","$23,373","$21,545","$25,396","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340053","NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER","200 HAWTHORNE LANE BOX 33549","CHARLOTTE","NC","28233","MECKLENBURG","7043844000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","532","$15,755","$14,850","$16,744","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340053","NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER","200 HAWTHORNE LANE BOX 33549","CHARLOTTE","NC","28233","MECKLENBURG","7043844000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","777","$19,994","$19,511","$20,498","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340053","NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER","200 HAWTHORNE LANE BOX 33549","CHARLOTTE","NC","28233","MECKLENBURG","7043844000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","513","$16,358","$15,488","$17,208","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340060","MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HIGHWAY","EDEN","NC","27288","ROCKINGHAM","3366239711","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","39","$23,826","$20,945","$27,241","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340060","MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HIGHWAY","EDEN","NC","27288","ROCKINGHAM","3366239711","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","187","$15,210","$13,923","$16,644","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340060","MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HIGHWAY","EDEN","NC","27288","ROCKINGHAM","3366239711","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Number of Cases Too Small","Not Available","Not Available","Not Available","Not Available","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Not Available","13 - Results cannot be calculated for this reporting period.","04/01/2013","03/31/2016"
"340060","MOREHEAD MEMORIAL HOSPITAL","117 E KINGS HIGHWAY","EDEN","NC","27288","ROCKINGHAM","3366239711","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","295","$15,750","$14,731","$16,806","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340061","UNIVERSITY OF NORTH CAROLINA HOSPITAL","101 MANNING DRIVE","CHAPEL HILL","NC","27514","ORANGE","9199664141","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","299","$21,218","$19,778","$22,724","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340061","UNIVERSITY OF NORTH CAROLINA HOSPITAL","101 MANNING DRIVE","CHAPEL HILL","NC","27514","ORANGE","9199664141","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","475","$16,542","$15,643","$17,551","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340061","UNIVERSITY OF NORTH CAROLINA HOSPITAL","101 MANNING DRIVE","CHAPEL HILL","NC","27514","ORANGE","9199664141","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","259","$26,216","$25,049","$27,413","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340061","UNIVERSITY OF NORTH CAROLINA HOSPITAL","101 MANNING DRIVE","CHAPEL HILL","NC","27514","ORANGE","9199664141","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","423","$17,010","$16,032","$17,972","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","NORTH WILKESBORO","NC","28659","WILKES","3366518100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","25","$23,223","$20,147","$26,674","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","NORTH WILKESBORO","NC","28659","WILKES","3366518100","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","139","$15,838","$14,377","$17,520","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","NORTH WILKESBORO","NC","28659","WILKES","3366518100","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","148","$22,780","$21,530","$24,150","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340064","WILKES REGIONAL MEDICAL CENTER","1370 WEST D ST","NORTH WILKESBORO","NC","28659","WILKES","3366518100","Payment for pneumonia patients","PAYM_30_PN","Greater than the National Average Payment","455","$19,020","$17,970","$20,062","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and higher payment","","07/01/2013","06/30/2016"
"340068","COLUMBUS REGIONAL HEALTHCARE SYSTEM","500 JEFFERSON ST","WHITEVILLE","NC","28472","COLUMBUS","9106428011","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","42","$22,605","$19,806","$25,832","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340068","COLUMBUS REGIONAL HEALTHCARE SYSTEM","500 JEFFERSON ST","WHITEVILLE","NC","28472","COLUMBUS","9106428011","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","208","$15,002","$13,740","$16,363","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340068","COLUMBUS REGIONAL HEALTHCARE SYSTEM","500 JEFFERSON ST","WHITEVILLE","NC","28472","COLUMBUS","9106428011","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","26","$25,673","$22,641","$29,028","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340068","COLUMBUS REGIONAL HEALTHCARE SYSTEM","500 JEFFERSON ST","WHITEVILLE","NC","28472","COLUMBUS","9106428011","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","288","$17,253","$16,052","$18,450","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340069","WAKEMED, RALEIGH CAMPUS","3000 NEW BERN AVE","RALEIGH","NC","27610","WAKE","9193508000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","858","$22,257","$21,285","$23,283","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340069","WAKEMED, RALEIGH CAMPUS","3000 NEW BERN AVE","RALEIGH","NC","27610","WAKE","9193508000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","1,114","$15,232","$14,601","$15,857","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340069","WAKEMED, RALEIGH CAMPUS","3000 NEW BERN AVE","RALEIGH","NC","27610","WAKE","9193508000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","344","$20,956","$20,211","$21,737","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340069","WAKEMED, RALEIGH CAMPUS","3000 NEW BERN AVE","RALEIGH","NC","27610","WAKE","9193508000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","732","$16,303","$15,580","$16,988","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and lower payment","","07/01/2013","06/30/2016"
"340070","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL RD","BURLINGTON","NC","27216","ALAMANCE","3365387000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","151","$21,969","$20,113","$24,108","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340070","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL RD","BURLINGTON","NC","27216","ALAMANCE","3365387000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","342","$16,036","$14,920","$17,155","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340070","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL RD","BURLINGTON","NC","27216","ALAMANCE","3365387000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","218","$22,029","$21,014","$23,110","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340070","ALAMANCE REGIONAL MEDICAL CENTER","1240 HUFFMAN MILL RD","BURLINGTON","NC","27216","ALAMANCE","3365387000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","518","$17,395","$16,471","$18,323","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340071","BETSY JOHNSON REGIONAL  HOSPITAL","800 TILGHMAN DR","DUNN","NC","28334","HARNETT","9108927161","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","43","$22,777","$20,042","$26,055","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340071","BETSY JOHNSON REGIONAL  HOSPITAL","800 TILGHMAN DR","DUNN","NC","28334","HARNETT","9108927161","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","352","$15,757","$14,738","$16,873","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340071","BETSY JOHNSON REGIONAL  HOSPITAL","800 TILGHMAN DR","DUNN","NC","28334","HARNETT","9108927161","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","52","$22,920","$20,903","$25,123","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340071","BETSY JOHNSON REGIONAL  HOSPITAL","800 TILGHMAN DR","DUNN","NC","28334","HARNETT","9108927161","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","457","$14,954","$14,125","$15,811","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340073","DUKE HEALTH RALEIGH HOSPITAL","3400 WAKE FOREST RD","RALEIGH","NC","27609","WAKE","9199543000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","73","$24,085","$21,316","$27,115","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340073","DUKE HEALTH RALEIGH HOSPITAL","3400 WAKE FOREST RD","RALEIGH","NC","27609","WAKE","9199543000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","216","$15,494","$14,232","$16,832","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340073","DUKE HEALTH RALEIGH HOSPITAL","3400 WAKE FOREST RD","RALEIGH","NC","27609","WAKE","9199543000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","688","$22,086","$21,500","$22,661","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340073","DUKE HEALTH RALEIGH HOSPITAL","3400 WAKE FOREST RD","RALEIGH","NC","27609","WAKE","9199543000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","332","$15,771","$14,769","$16,772","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340075","CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE","2201 S STERLING ST","MORGANTON","NC","28655","BURKE","8285805000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","99","$21,594","$19,476","$24,054","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340075","CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE","2201 S STERLING ST","MORGANTON","NC","28655","BURKE","8285805000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","221","$14,046","$12,881","$15,324","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340075","CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE","2201 S STERLING ST","MORGANTON","NC","28655","BURKE","8285805000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","196","$24,331","$23,134","$25,640","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340075","CAROLINAS HEALTHCARE SYSTEM-BLUE RIDGE","2201 S STERLING ST","MORGANTON","NC","28655","BURKE","8285805000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","526","$16,495","$15,650","$17,345","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
