"CCN#","VHA Facility","Address","City","State","Zip Code","MeasureID","Technical Measure Title","Measure as Reported on Hospital Compare","Numerator","Denominator","Observed Rate per 1,000","Footnotes","Date Range"
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","MARION","IL",62959,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",0,1201,0.00,,"October 2015 - December 2016"
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","MARION","IL",62959,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)","X","X","X","X Not Available","October 2015 - December 2016"
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","MARION","IL",62959,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,1888,0.00,,"October 2015 - December 2016"
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","MARION","IL",62959,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",0,1377,0.00,,"October 2015 - December 2016"
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","MARION","IL",62959,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,1674,0.00,,"October 2015 - December 2016"
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","MARION","IL",62959,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)","X","X","X","X Not Available","October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)",0,206,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)",1,199,5.03,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)",0,316,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)",0,189,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)",0,43,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)",0,243,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",0,1170,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,2417,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",0,1588,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,1906,0.00,,"October 2015 - December 2016"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL",60064,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)",0,294,0.00,,"October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)",0,25,0.00,,"October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)",0,42,0.00,,"October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",0,697,0.00,,"October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)","X","X","X","X Not Available","October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,1130,0.00,,"October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",0,779,0.00,,"October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,902,0.00,,"October 2015 - December 2016"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN",46805,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)",5,1494,3.35,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)",12,1038,11.56,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)",9,2166,4.16,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)",10,1442,6.93,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)",2,428,4.67,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)",0,1074,0.00,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",2,4356,0.46,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)",9,71,126.76,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,8182,0.00,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",1,5152,0.19,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,6651,0.00,,"October 2015 - December 2016"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN",46202,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)",9,2074,4.34,,"October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)","X","X","X","X Not Available","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)","X","X","X","X Not Available","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)","X","X","X","X Not Available","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)","X","X","X","X Not Available","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)","X","X","X","X Not Available","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)","X","X","X","X Not Available","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)","X","X","X","X Not Available","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,32,0.00,,"October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN",46953,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)","X","X","X","X Not Available","October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)",0,296,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)",2,241,8.30,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)",0,441,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)",1,272,3.68,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)",0,130,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)",0,549,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",0,1519,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,2574,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",0,1755,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,2069,0.00,,"October 2015 - December 2016"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA",50310,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)",2,430,4.65,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)",0,457,0.00,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)",3,357,8.40,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)",2,828,2.42,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)",0,447,0.00,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)",0,143,0.00,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)",0,415,0.00,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",0,2046,0.00,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)",1,27,37.04,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",2,3604,0.55,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",0,2227,0.00,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,2751,0.00,,"October 2015 - December 2016"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA",52246,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)",3,804,3.73,,"October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)",0,33,0.00,,"October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)",0,95,0.00,,"October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",0,687,0.00,,"October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)","X","X","X","X Not Available","October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,1217,0.00,,"October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",0,867,0.00,,"October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,1023,0.00,,"October 2015 - December 2016"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS",66622,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)",0,28,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)",0,50,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)",1,44,22.73,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-12","12 - Perioperative Pulmonary Embolism or DVT","Perioperative Blood Clot/Embolism (PSI12)",0,86,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-13","13 - Postoperative Sepsis","Postoperative Sepsis (PSI13)",0,47,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-14","14 - Postoperative Wound Dehiscence","A wound that splits open after surgery on the abdomen or pelvis (PSI14)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-15","15 - Unrecognized Abdominopelvic Accidental Puncture/Laceration","Accidental puncture or laceration from medical treatment (PSI15)",0,99,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-3","03 - Pressure Ulcer","Pressure Ulcer Rate (PSI03)",0,707,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-4","04 - Death among surgical inpatients with serious treatable conditions","Inpatient Surgical Deaths (PSI04)","*","*","*","*Rates not reported for Observations < 25","October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-6","06 - Iatrogenic Pneumothorax","Collapsed lung due to medical treatment (PSI06)",0,1116,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-7","07 - Central Venous Catheter-Related Bloodstream Infection","Central Venous Catheter-Related Blood Stream Infection (PSI07)",0,837,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-8","08 - In Hospital Fall with Hip Fracture","Postoperative Hip Fracture (PSI08)",0,962,0.00,,"October 2015 - December 2016"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS",66048,"PSI-9","09 - Perioperative Hemorrhage or Hematoma","Perioperative Bleeding/Bruise (PSI09)",0,79,0.00,,"October 2015 - December 2016"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS",67218,"PSI-10","10 - Postoperative Acute Kidney Injury Requiring Dialysis","Postoperative Kidney & Diabetic Complications (PSI10)",0,444,0.00,,"October 2015 - December 2016"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS",67218,"PSI-11","11 - Postoperative Respiratory Failure","Postoperative Respiratory Failure (PSI11)",4,390,10.26,,"October 2015 - December 2016"
