"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
"HI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","12","1","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","114","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ID","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","30","1","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","10","160","3","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","111","3","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","110","1","15","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","7","84","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"LA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","92","1","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","8","55","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MD","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","6","38","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ME","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","35","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","6","112","3","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","92","0","36","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MO","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","7","100","1","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MP","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","9","79","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","40","1","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","6","94","3","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ND","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","34","1","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NE","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","74","0","14","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NH","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","25","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NJ","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","13","50","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NM","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","38","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NV","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","26","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","29","136","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OH","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","4","144","1","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OK","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","101","4","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","54","1","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","6","144","2","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","27","0","20","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"RI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","57","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SD","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","42","1","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TN","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","1","101","0","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TX","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","308","5","64","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"UT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","37","2","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","74","1","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","14","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","78","2","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WI","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","116","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WV","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","46","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WY","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","20","1","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AK","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","8","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AL","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","41","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AR","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","30","1","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AS","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AZ","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","1","49","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","200","5","86","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CO","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","48","2","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CT","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","1","25","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DC","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","5","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DE","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","3","2","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"FL","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","7","136","5","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","1","72","2","14","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GU","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","0","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"HI","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","8","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","51","1","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ID","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","22","1","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IL","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","1","113","1","26","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IN","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","83","1","23","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KS","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","41","3","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KY","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","43","0","14","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"LA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","52","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","53","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MD","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","38","2","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ME","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","26","1","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MI","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","97","2","16","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MN","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","63","1","20","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MO","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","3","64","1","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MP","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MS","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","25","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MT","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","22","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NC","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","78","3","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ND","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","9","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NE","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","42","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NH","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","22","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NJ","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","52","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NM","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","20","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NV","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","22","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NY","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","106","1","37","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OH","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","133","3","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OK","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","48","1","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OR","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","39","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","128","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PR","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","7","0","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"RI","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","10","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SC","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","39","1","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SD","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","17","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TN","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","54","0","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TX","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","2","210","1","50","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"UT","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","1","29","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","1","59","1","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VI","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VT","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","12","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WA","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","55","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WI","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","1","84","1","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WV","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","22","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WY","Rate of readmission after hip/knee replacement","READM_30_HIP_KNEE","0","15","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AK","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","21","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","3","83","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AR","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","7","64","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AZ","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","67","7","5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","22","282","18","11","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CO","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","65","7","3","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CT","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","3","26","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DC","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","6","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DE","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","5","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"FL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","44","131","5","5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","2","123","2","5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GU","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"HI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","11","2","5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","111","4","1","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ID","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","36","3","2","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IL","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","17","154","6","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IN","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","4","103","13","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","1","121","3","12","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KY","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","11","77","3","3","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"LA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","2","107","1","11","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MA","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","14","45","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MD","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","6","36","5","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ME","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","31","2","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MI","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","17","100","8","5","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MN","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","117","1","10","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MO","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","7","95","5","4","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MP","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MS","Rate of readmission after discharge from hospital (hospital-wide)","READM_30_HOSP_WIDE","7","83","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2015","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
