"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Services","Hospital overall rating","Hospital overall rating footnote"
"15002F","VA N. INDIANA HEALTHCARE SYSTEM - FT. WAYNE","2121 LAKE AVENUE","FORT WAYNE","IN","46805","ALLEN","2604265431","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"45066F","DALLAS VA MEDICAL CENTER (VA NORTH TEXAS HEALTHCARE SYSTEM)","4500 S. LANCASTER ROAD","DALLAS","TX","75216","DALLAS","2147428387","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"45074F","HOUSTON VA MEDICAL CENTER","2002 HOLCOMBE BLVD.","HOUSTON","TX","77030","HARRIS","7137947100","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"45086F","TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM)","1901 VETERANS MEMORIAL DRIVE","TEMPLE","TX","76504","BELL","2547784811","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"45090F","SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM)","7400 MERTON MINTER BLVD.","SAN ANTONIO","TX","78229","BEXAR","2106175300","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"46002F","VA SALT LAKE CITY HEALTHCARE - GEORGE E. WAHLEN VA MEDICAL CENTER","500 FOOTHILL BLVD.","SALT LAKE CITY","UT","84148","SALT LAKE","8015841211","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"47001F","WHITE RIVER JCT VA MEDICAL CENTER","163 VETERANS DRIVE","WHITE RIVER JUNCTION","VT","05009","WINDSOR","8022959363","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"49006F","HAMPTON VA MEDICAL CENTER","100 EMANCIPATION DRIVE","HAMPTON","VA","23667","HAMPTON CITY","7577229961","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"49010F","RICHMOND VA MEDICAL CENTER","1201 BROAD ROCK BOULEVARD","RICHMOND","VA","23249","RICHMOND CITY","8046755000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"49011F","SALEM VA MEDICAL CENTER","1970 ROANOKE BOULEVARD","SALEM","VA","24153","SALEM","5409822463","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"18006F","LOUISVILLE VA MEDICAL CENTER","800 ZORN AVENUE","LOUISVILLE","KY","40206","JEFFERSON","5022874000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"50030F","SEATTLE VA MEDICAL CENTER (VA PUGIT SOUND HEALTHCARE SYSTEM)","1660 S. COLUMBIAN WAY","SEATTLE","WA","98108","KING","2067642299","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"51002F","BECKLEY VA MEDICAL CENTER","200 VETERANS AVENUE","BECKLEY","WV","25801","RALEIGH","3042552121","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"51003F","CLARKSBURG VA MEDICAL CENTER","1 MEDICAL CENTER DRIVE","CLARKSBURG","WV","26301","HARRISON","3046233461","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"51004F","HUNTINGTON VA MEDICAL CENTER","1540 SPRING VALLEY ROAD","HUNTINGTON","WV","25704","WAYNE","3044290241","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"51005F","MARTINSBURG VA MEDICAL CENTER","510 BUTLER AVE.","MARTINSBURG","WV","25405","BERKELEY","3042630811","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"52002F","TOMAH VA MEDICAL CENTER","500 EAST VETERANS STREET","TOMAH","WI","54660","MONROE","6083723971","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"52003F","MILWAUKEE VA MEDICAL CENTER","5000 W. NATIONAL AVENUE","MILWAUKEE","WI","53295","MILWAUKEE","4143842000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"52004F","MADISON VA MEDICAL CENTER","2500 OVERLOOK TERRACE","MADISON","WI","53705","DANE","6082561901","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"53004F","CHEYENNE VA MEDICAL CENTER","2360 E. PERSHING BLVD.","CHEYENNE","WY","82001","LARAMIE","3077787300","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"53005F","SHERIDAN VA MEDICAL CENTER","1898 FORT ROAD","SHERIDAN","WY","82801","SHERIDAN","3076721675","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"19043F","ALEXANDRIA VA MEDICAL CENTER","2495 SHREVEPORT HIGHWAY 71 N","PINEVILLE","LA","71360","RAPIDES","3184730010","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"23037F","DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER","4646 JOHN R.","DETROIT","MI","48201","WAYNE","3135761000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"26004F","KANSAS CITY VA MEDICAL CENTER","4801 LINWOOD BLVD.","KANSAS CITY","MO","64128","JACKSON","8168614700","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"29002F","VA SIERRA NEVADA HEALTHCARE SYSTEM","975 KIRMAN AVENUE","RENO","NV","89502","WASHOE","7753281263","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"36001F","CLEVELAND-WADE PARK VA MEDICAL CENTER","10701 EAST BLVD","CLEVELAND","OH","44106","CUYAHOGA","2167913800","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"38003F","PORTLAND VA MEDICAL CENTER","3710 SW US VETERANS HOSPITAL","PORTLAND","OR","97239","MULTNOMAH","5032208262","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"45060F","VA AMARILLO HEALTHCARE SYSTEM","6010 AMARILLO BLVD. WEST","AMARILLO","TX","79106","POTTER","8063559703","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"50011F","SPOKANE VA MEDICAL CENTER","4815 N. ASSEMBLY STREET","SPOKANE","WA","99205","SPOKANE","5094347000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"99999F","ORLANDO VA MEDICAL CENTER","13800 VETERANS WAY","ORLANDO","FL","32827","ORANGE","4076311000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"40003F","SAN JUAN VA MEDICAL CENTER","10 CALLE CASIA","SAN JUAN","PR","00921","SAN JUAN","8004498729","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
