"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"AL","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","78","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","64","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","0","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","49","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","10","245","3","73","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CO","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","46","0","27","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","27","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DC","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DE","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","6","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"FL","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","9","158","9","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","106","0","27","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GU","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"HI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","11","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","76","0","38","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ID","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","16","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IL","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","156","8","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IN","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","106","2","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KS","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","73","0","52","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KY","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","87","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"LA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","80","0","26","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","51","9","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MD","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","41","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ME","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","32","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","105","4","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MN","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","54","0","74","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MO","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","98","1","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MP","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MS","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","72","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","22","0","37","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NC","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","95","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ND","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","13","0","29","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NE","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","43","0","40","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NH","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","24","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NJ","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","61","2","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","30","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","26","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","151","3","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","144","2","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OK","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","81","0","33","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","47","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","148","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","15","0","32","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","50","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","20","0","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","3","94","0","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","5","264","2","100","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","16","0","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","76","1","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","13","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","4","64","0","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","2","93","1","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","42","2","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","1","15","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Death rate for stroke patients","MORT_30_STK","0","8","0","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Death rate for stroke patients","MORT_30_STK","3","53","0","33","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Death rate for stroke patients","MORT_30_STK","3","40","0","29","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Death rate for stroke patients","MORT_30_STK","0","0","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Death rate for stroke patients","MORT_30_STK","0","41","2","23","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CA","Death rate for stroke patients","MORT_30_STK","4","219","9","90","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CO","Death rate for stroke patients","MORT_30_STK","0","36","0","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CT","Death rate for stroke patients","MORT_30_STK","0","28","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DC","Death rate for stroke patients","MORT_30_STK","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DE","Death rate for stroke patients","MORT_30_STK","0","5","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"FL","Death rate for stroke patients","MORT_30_STK","7","141","5","27","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GA","Death rate for stroke patients","MORT_30_STK","5","67","0","53","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GU","Death rate for stroke patients","MORT_30_STK","0","1","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"HI","Death rate for stroke patients","MORT_30_STK","0","12","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IA","Death rate for stroke patients","MORT_30_STK","1","46","0","68","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ID","Death rate for stroke patients","MORT_30_STK","0","13","0","22","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IL","Death rate for stroke patients","MORT_30_STK","0","110","4","60","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IN","Death rate for stroke patients","MORT_30_STK","0","75","0","44","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KS","Death rate for stroke patients","MORT_30_STK","1","37","0","80","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KY","Death rate for stroke patients","MORT_30_STK","1","46","1","42","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"LA","Death rate for stroke patients","MORT_30_STK","0","46","2","49","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MA","Death rate for stroke patients","MORT_30_STK","0","54","2","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MD","Death rate for stroke patients","MORT_30_STK","1","39","3","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ME","Death rate for stroke patients","MORT_30_STK","1","27","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MI","Death rate for stroke patients","MORT_30_STK","1","80","5","38","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MN","Death rate for stroke patients","MORT_30_STK","0","34","1","87","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MO","Death rate for stroke patients","MORT_30_STK","2","53","2","51","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MP","Death rate for stroke patients","MORT_30_STK","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MS","Death rate for stroke patients","MORT_30_STK","2","38","2","47","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MT","Death rate for stroke patients","MORT_30_STK","1","13","0","35","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NC","Death rate for stroke patients","MORT_30_STK","2","85","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ND","Death rate for stroke patients","MORT_30_STK","1","7","0","29","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NE","Death rate for stroke patients","MORT_30_STK","0","22","0","57","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NH","Death rate for stroke patients","MORT_30_STK","1","17","1","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NJ","Death rate for stroke patients","MORT_30_STK","0","57","4","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Death rate for stroke patients","MORT_30_STK","2","18","0","19","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Death rate for stroke patients","MORT_30_STK","2","16","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Death rate for stroke patients","MORT_30_STK","5","110","10","40","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Death rate for stroke patients","MORT_30_STK","0","106","2","44","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OK","Death rate for stroke patients","MORT_30_STK","0","42","0","60","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Death rate for stroke patients","MORT_30_STK","1","40","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Death rate for stroke patients","MORT_30_STK","1","116","3","36","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Death rate for stroke patients","MORT_30_STK","0","9","0","37","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Death rate for stroke patients","MORT_30_STK","0","9","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Death rate for stroke patients","MORT_30_STK","2","43","0","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Death rate for stroke patients","MORT_30_STK","0","11","0","37","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Death rate for stroke patients","MORT_30_STK","5","60","1","42","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Death rate for stroke patients","MORT_30_STK","5","177","1","144","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Death rate for stroke patients","MORT_30_STK","3","13","0","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Death rate for stroke patients","MORT_30_STK","1","68","1","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Death rate for stroke patients","MORT_30_STK","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Death rate for stroke patients","MORT_30_STK","1","11","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Death rate for stroke patients","MORT_30_STK","4","53","0","28","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Death rate for stroke patients","MORT_30_STK","1","73","0","43","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Death rate for stroke patients","MORT_30_STK","1","22","0","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Death rate for stroke patients","MORT_30_STK","0","9","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Death rate for CABG","MORT_30_CABG","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AL","Death rate for CABG","MORT_30_CABG","1","20","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AR","Death rate for CABG","MORT_30_CABG","2","15","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AS","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AZ","Death rate for CABG","MORT_30_CABG","0","26","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CA","Death rate for CABG","MORT_30_CABG","0","96","0","32","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CO","Death rate for CABG","MORT_30_CABG","0","15","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"CT","Death rate for CABG","MORT_30_CABG","0","10","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DC","Death rate for CABG","MORT_30_CABG","0","1","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"DE","Death rate for CABG","MORT_30_CABG","0","3","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"FL","Death rate for CABG","MORT_30_CABG","0","70","2","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GA","Death rate for CABG","MORT_30_CABG","1","17","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"GU","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"HI","Death rate for CABG","MORT_30_CABG","0","3","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IA","Death rate for CABG","MORT_30_CABG","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ID","Death rate for CABG","MORT_30_CABG","0","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IL","Death rate for CABG","MORT_30_CABG","0","50","2","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"IN","Death rate for CABG","MORT_30_CABG","1","32","0","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KS","Death rate for CABG","MORT_30_CABG","0","14","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"KY","Death rate for CABG","MORT_30_CABG","1","15","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"LA","Death rate for CABG","MORT_30_CABG","2","22","1","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MA","Death rate for CABG","MORT_30_CABG","0","14","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MD","Death rate for CABG","MORT_30_CABG","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ME","Death rate for CABG","MORT_30_CABG","0","3","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MI","Death rate for CABG","MORT_30_CABG","0","34","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MN","Death rate for CABG","MORT_30_CABG","0","13","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MO","Death rate for CABG","MORT_30_CABG","1","30","0","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MP","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MS","Death rate for CABG","MORT_30_CABG","2","15","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"MT","Death rate for CABG","MORT_30_CABG","0","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NC","Death rate for CABG","MORT_30_CABG","0","22","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"ND","Death rate for CABG","MORT_30_CABG","0","6","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NE","Death rate for CABG","MORT_30_CABG","0","8","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NH","Death rate for CABG","MORT_30_CABG","0","4","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NJ","Death rate for CABG","MORT_30_CABG","0","15","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NM","Death rate for CABG","MORT_30_CABG","0","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NV","Death rate for CABG","MORT_30_CABG","0","12","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"NY","Death rate for CABG","MORT_30_CABG","0","32","1","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OH","Death rate for CABG","MORT_30_CABG","0","47","2","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OK","Death rate for CABG","MORT_30_CABG","2","14","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Death rate for CABG","MORT_30_CABG","0","12","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Death rate for CABG","MORT_30_CABG","0","56","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Death rate for CABG","MORT_30_CABG","0","2","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Death rate for CABG","MORT_30_CABG","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Death rate for CABG","MORT_30_CABG","1","15","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Death rate for CABG","MORT_30_CABG","0","2","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Death rate for CABG","MORT_30_CABG","1","20","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Death rate for CABG","MORT_30_CABG","2","106","1","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Death rate for CABG","MORT_30_CABG","0","8","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Death rate for CABG","MORT_30_CABG","0","18","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Death rate for CABG","MORT_30_CABG","0","0","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Death rate for CABG","MORT_30_CABG","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Death rate for CABG","MORT_30_CABG","0","16","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Death rate for CABG","MORT_30_CABG","0","25","1","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Death rate for CABG","MORT_30_CABG","1","5","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Death rate for CABG","MORT_30_CABG","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","8","0","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","39","2","6","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AR","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","28","2","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","0","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"AZ","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","50","0","3","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"CA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","202","7","82","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"CO","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","48","3","7","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"CT","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","4","21","1","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"DC","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","5","0","2","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"DE","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","3","2","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"FL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","140","5","20","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"GA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","72","3","14","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"GU","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","0","0","1","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"HI","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","7","0","5","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"IA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","2","50","0","24","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"ID","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","23","0","7","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"IL","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","3","112","0","27","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"IN","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","81","2","23","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"KS","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","42","2","9","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"KY","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","43","0","14","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"LA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","0","54","0","20","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MA","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","53","1","3","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
"MD","Rate of complications for hip/knee replacement patients","COMP_HIP_KNEE","1","38","1","5","20 - State and national averages do not include VHA hospital data.","04/01/2013","03/31/2016"
