"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"NJ","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NM","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OH","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OK","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"PA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"PR","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"RI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"SC","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"SD","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"TN","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"TX","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"UT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VT","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WA","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WI","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WV","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WY","Catheter-associated urinary tract infections (CAUTI) in ICUs and select wards","HAI_2_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AZ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"CA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"CO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"CT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"DC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"DE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"FL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"GA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"GU","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"HI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"IA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"ID","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"IL","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"IN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"KS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"KY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"LA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"ME","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MO","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MP","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MS","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"ND","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NE","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NJ","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NM","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OH","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OK","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"PA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"PR","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"RI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"SC","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"SD","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"TN","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"TX","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"UT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VT","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WA","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WI","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WV","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WY","CAUTI: Upper Confidence Limit","HAI_2_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AK","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AZ","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"CA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"CO","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"CT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"DC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"DE","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"FL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"GA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"GU","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"HI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"IA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"ID","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"IL","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"IN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"KS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"KY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"LA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MD","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"ME","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MO","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MP","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MS","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"MT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"ND","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NE","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NH","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NJ","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NM","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NV","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"NY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OH","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OK","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"OR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"PA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"PR","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"RI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"SC","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"SD","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"TN","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"TX","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"UT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"VT","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WA","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WI","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WV","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"WY","CAUTI: Lower Confidence Limit","HAI_2_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters.","10/01/2015","09/30/2016"
"AK","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.333","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.659","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AR","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.765","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AZ","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.204","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.968","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CO","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.046","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.202","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DC","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.013","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DE","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.399","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"FL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.783","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.153","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GU","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"HI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.644","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.162","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ID","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.071","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IL","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.937","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IN","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.945","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.191","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KY","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.903","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"LA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.920","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.901","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MD","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.948","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ME","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.290","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MI","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.941","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MN","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.177","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MO","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.789","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MP","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","Not Available","13 - Results cannot be calculated for this reporting period., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MS","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.069","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MT","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.665","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NC","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.853","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ND","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.497","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NE","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.173","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NH","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.324","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NJ","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.718","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NM","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.502","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NV","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.825","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NY","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","1.172","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OH","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.856","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OK","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.957","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OR","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.651","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"PA","Surgical Site Infection from colon surgery (SSI: Colon)","HAI_3_SIR","0.901","20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
